0.583	1.558	-7.282	21.971
3.632	1.941	3.509	9.510
1.427	2.057	-2.937	13.065
2.197	4.043	1.256	10.195
1.780	0.009	6.434	-3.493
2.115	-1.925	5.097	2.239
2.528	-2.362	3.293	6.537
2.087	1.145	-3.209	17.455
3.139	3.529	9.961	-6.550
0.285	6.375	4.406	-2.494
0.520	3.861	1.745	4.319
3.446	-1.301	-2.221	21.160
3.019	-0.484	5.315	4.213
0.527	2.201	2.852	2.588
0.633	2.038	-2.201	10.294
1.768	0.555	-1.393	13.093
2.287	3.331	-2.189	15.075
0.358	4.589	-2.629	10.537
-2.825	1.409	4.071	-11.435
2.138	2.462	2.380	7.692
-2.721	-1.347	2.543	-8.825
1.651	-5.329	-0.397	11.139
0.406	-7.083	-6.641	19.630
2.631	2.230	3.421	6.924
1.096	0.191	-3.249	14.396
0.479	1.071	5.676	-4.401
2.050	1.917	0.283	9.489
0.968	-2.051	3.593	1.993
2.980	3.027	4.169	6.138
1.569	-4.836	5.783	-0.724
3.157	-5.953	-0.154	13.246
2.204	-1.507	4.598	1.595
1.417	-3.820	1.113	7.843
3.403	2.054	-5.527	26.783
1.903	2.979	0.702	9.152
-0.091	1.220	2.598	-1.300
4.509	-2.799	5.550	6.323
3.665	5.246	-0.571	16.550
-1.594	0.650	2.995	-5.971
1.895	-5.692	-0.706	12.073
2.054	-0.825	3.314	3.056
0.763	-3.421	2.862	2.285
-0.024	2.953	-0.737	8.369
1.525	-3.899	1.420	7.360
1.907	1.517	5.946	-0.485
-1.105	0.055	7.747	-15.260
1.535	2.192	9.243	-7.347
-0.198	2.438	8.730	-13.980
-0.063	-0.262	-4.785	13.219
-1.484	1.783	-4.208	8.568
-1.417	-1.880	0.663	-0.339
-1.993	2.612	-6.082	10.234
1.126	-1.193	1.902	2.814
0.918	-1.494	9.152	-10.093
-1.544	2.809	-1.853	5.637
-0.155	1.288	1.416	3.348
4.354	2.966	2.047	14.576
2.593	0.221	0.757	12.197
3.165	-0.940	-7.671	30.732
-0.769	1.586	-0.481	3.849
2.917	-0.702	4.976	2.509
3.319	3.451	3.464	7.613
5.230	-3.910	2.978	14.201
-0.386	3.382	3.422	-2.271
3.585	3.398	1.822	10.752
1.882	2.719	-0.571	11.046
1.817	-1.250	-3.087	14.967
1.419	0.568	4.264	2.448
-2.086	-2.571	4.360	-9.289
4.542	-1.736	-1.190	20.509
-3.153	0.828	3.516	-9.816
-2.174	-2.956	-5.432	9.842
-3.196	0.976	0.228	-3.839
2.131	3.027	2.785	4.725
1.695	2.203	2.464	6.499
1.900	2.835	4.705	0.430
-0.712	-3.950	-1.611	5.664
-0.232	3.191	-0.999	6.825
4.187	2.243	9.732	-0.444
2.060	-0.826	9.282	-7.214
1.114	3.208	-6.323	8.384
-0.902	1.464	0.888	2.282
2.965	-0.688	-8.960	15.171
2.074	5.805	2.752	12.481
0.295	1.266	2.506	5.690
-0.991	-1.092	3.818	2.894
0.430	-3.850	2.256	5.363
-0.814	-4.940	5.604	1.846
0.202	-0.668	6.351	7.087
1.916	0.181	7.388	10.972
3.105	2.801	3.432	16.845
1.171	2.189	5.646	8.052
-0.798	-0.540	-3.099	2.670
4.340	-1.860	3.799	18.527
0.768	3.086	-1.118	7.528
-2.283	0.767	5.522	-1.660
-0.424	3.895	5.713	1.355
-1.176	-0.366	-1.954	2.000
2.193	5.432	0.390	10.616
2.584	-1.066	4.070	13.516
